dt_referencia;no_produto;no_indicador;vr_real
"2010-01-04";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-04";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-04";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.0
"2010-01-04";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";53.81
"2010-01-04";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";54.7
"2010-01-04";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.91
"2010-01-04";"soja";"Soja industrial tipo 1 sc 60 Kg";40.22
"2010-01-04";"trigo";"Trigo pão PH 78 sc 60 Kg";23.8
"2010-01-04";"boi";"Boi em pé arroba";72.28
"2010-01-04";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.6
"2010-01-04";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-04";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-04";"vaca";"Vaca em pé (padrão corte) arroba";66.71
"2010-01-04";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";220.48
"2010-01-05";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-05";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-05";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-05";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";55.58
"2010-01-05";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";55.15
"2010-01-05";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.87
"2010-01-05";"soja";"Soja industrial tipo 1 sc 60 Kg";39.93
"2010-01-05";"trigo";"Trigo pão PH 78 sc 60 Kg";23.99
"2010-01-05";"boi";"Boi em pé arroba";72.51
"2010-01-05";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-05";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-05";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-05";"vaca";"Vaca em pé (padrão corte) arroba";66.63
"2010-01-05";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";222.28
"2010-01-05";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-06";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-06";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-06";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-06";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";56.39
"2010-01-06";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";56.58
"2010-01-06";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.89
"2010-01-06";"soja";"Soja industrial tipo 1 sc 60 Kg";39.85
"2010-01-06";"trigo";"Trigo pão PH 78 sc 60 Kg";24.1
"2010-01-06";"boi";"Boi em pé arroba";73.11
"2010-01-06";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-06";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-06";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-06";"vaca";"Vaca em pé (padrão corte) arroba";66.98
"2010-01-06";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";225.15
"2010-01-06";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-07";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-07";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-07";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-07";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.84
"2010-01-07";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";57.13
"2010-01-07";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.93
"2010-01-07";"soja";"Soja industrial tipo 1 sc 60 Kg";39.72
"2010-01-07";"trigo";"Trigo pão PH 78 sc 60 Kg";24.1
"2010-01-07";"boi";"Boi em pé arroba";73.1
"2010-01-07";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-07";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-07";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-07";"vaca";"Vaca em pé (padrão corte) arroba";67.1
"2010-01-07";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";228.71
"2010-01-07";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-08";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-08";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";35.51
"2010-01-08";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-08";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.53
"2010-01-08";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";57.14
"2010-01-08";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.02
"2010-01-08";"soja";"Soja industrial tipo 1 sc 60 Kg";39.74
"2010-01-08";"trigo";"Trigo pão PH 78 sc 60 Kg";24.03
"2010-01-08";"boi";"Boi em pé arroba";73.16
"2010-01-08";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-08";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-08";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-08";"vaca";"Vaca em pé (padrão corte) arroba";67.07
"2010-01-08";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";228.99
"2010-01-08";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-11";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-11";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-11";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-11";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.06
"2010-01-11";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.07
"2010-01-11";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.77
"2010-01-11";"soja";"Soja industrial tipo 1 sc 60 Kg";39.34
"2010-01-11";"trigo";"Trigo pão PH 78 sc 60 Kg";24.03
"2010-01-11";"boi";"Boi em pé arroba";72.96
"2010-01-11";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-11";"erva-mate";"Erva-mate folha em barranco arroba";6.17
"2010-01-11";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-11";"vaca";"Vaca em pé (padrão corte) arroba";67.12
"2010-01-11";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.68
"2010-01-11";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-12";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-12";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.49
"2010-01-12";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-12";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.2
"2010-01-12";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.87
"2010-01-12";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.89
"2010-01-12";"soja";"Soja industrial tipo 1 sc 60 Kg";39.03
"2010-01-12";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-12";"boi";"Boi em pé arroba";73.22
"2010-01-12";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-12";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-12";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-12";"vaca";"Vaca em pé (padrão corte) arroba";67.26
"2010-01-12";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.35
"2010-01-12";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-13";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-13";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.49
"2010-01-13";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-13";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.25
"2010-01-13";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.87
"2010-01-13";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.84
"2010-01-13";"soja";"Soja industrial tipo 1 sc 60 Kg";38.07
"2010-01-13";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-13";"boi";"Boi em pé arroba";72.67
"2010-01-13";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-13";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-13";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-13";"vaca";"Vaca em pé (padrão corte) arroba";66.96
"2010-01-13";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.78
"2010-01-13";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-14";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-14";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";37.25
"2010-01-14";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-14";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.99
"2010-01-14";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.27
"2010-01-14";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.81
"2010-01-14";"soja";"Soja industrial tipo 1 sc 60 Kg";37.65
"2010-01-14";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-14";"boi";"Boi em pé arroba";72.38
"2010-01-14";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-14";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-14";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-14";"vaca";"Vaca em pé (padrão corte) arroba";66.91
"2010-01-14";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.2
"2010-01-14";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-15";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-15";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-15";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-15";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.59
"2010-01-15";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.27
"2010-01-15";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.86
"2010-01-15";"soja";"Soja industrial tipo 1 sc 60 Kg";37.13
"2010-01-15";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-15";"boi";"Boi em pé arroba";72.53
"2010-01-15";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-15";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-15";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-15";"vaca";"Vaca em pé (padrão corte) arroba";66.91
"2010-01-15";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.34
"2010-01-15";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-18";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-18";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-18";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-18";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.59
"2010-01-18";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.49
"2010-01-18";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.82
"2010-01-18";"soja";"Soja industrial tipo 1 sc 60 Kg";37.0
"2010-01-18";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-18";"boi";"Boi em pé arroba";72.58
"2010-01-18";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-18";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-18";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-18";"vaca";"Vaca em pé (padrão corte) arroba";66.82
"2010-01-18";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.2
"2010-01-18";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-19";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-19";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-19";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-19";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";57.38
"2010-01-19";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.42
"2010-01-19";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.8
"2010-01-19";"soja";"Soja industrial tipo 1 sc 60 Kg";36.89
"2010-01-19";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-19";"boi";"Boi em pé arroba";72.43
"2010-01-19";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-19";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-19";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-19";"vaca";"Vaca em pé (padrão corte) arroba";66.49
"2010-01-19";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.57
"2010-01-19";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-20";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-20";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-20";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-20";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";58.25
"2010-01-20";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.7
"2010-01-20";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.91
"2010-01-20";"soja";"Soja industrial tipo 1 sc 60 Kg";36.92
"2010-01-20";"trigo";"Trigo pão PH 78 sc 60 Kg";23.76
"2010-01-20";"boi";"Boi em pé arroba";72.57
"2010-01-20";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.6
"2010-01-20";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-20";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-20";"vaca";"Vaca em pé (padrão corte) arroba";66.83
"2010-01-20";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.86
"2010-01-20";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-21";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-21";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-21";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-21";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.23
"2010-01-21";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.82
"2010-01-21";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.83
"2010-01-21";"soja";"Soja industrial tipo 1 sc 60 Kg";36.56
"2010-01-21";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-21";"boi";"Boi em pé arroba";72.53
"2010-01-21";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-21";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-21";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-21";"vaca";"Vaca em pé (padrão corte) arroba";66.57
"2010-01-21";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.06
"2010-01-21";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-22";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-22";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-22";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-22";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.23
"2010-01-22";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";59.82
"2010-01-22";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.84
"2010-01-22";"soja";"Soja industrial tipo 1 sc 60 Kg";36.72
"2010-01-22";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-22";"boi";"Boi em pé arroba";72.49
"2010-01-22";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-22";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-22";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-22";"vaca";"Vaca em pé (padrão corte) arroba";66.38
"2010-01-22";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.06
"2010-01-22";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-25";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-25";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-25";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-25";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";52.94
"2010-01-25";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";58.79
"2010-01-25";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.91
"2010-01-25";"soja";"Soja industrial tipo 1 sc 60 Kg";36.31
"2010-01-25";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-25";"boi";"Boi em pé arroba";72.53
"2010-01-25";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-25";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-25";"suíno";"Suíno em pé tipo carne não integrado kg";1.97
"2010-01-25";"vaca";"Vaca em pé (padrão corte) arroba";66.25
"2010-01-25";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.2
"2010-01-25";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-26";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-26";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-26";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-26";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";52.74
"2010-01-26";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";57.4
"2010-01-26";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.92
"2010-01-26";"soja";"Soja industrial tipo 1 sc 60 Kg";36.29
"2010-01-26";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-26";"boi";"Boi em pé arroba";72.52
"2010-01-26";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-26";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-26";"suíno";"Suíno em pé tipo carne não integrado kg";1.99
"2010-01-26";"vaca";"Vaca em pé (padrão corte) arroba";65.97
"2010-01-26";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.2
"2010-01-26";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-27";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-27";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-27";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-27";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";52.06
"2010-01-27";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";56.87
"2010-01-27";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.95
"2010-01-27";"soja";"Soja industrial tipo 1 sc 60 Kg";36.26
"2010-01-27";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-27";"boi";"Boi em pé arroba";72.66
"2010-01-27";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-27";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-27";"suíno";"Suíno em pé tipo carne não integrado kg";1.99
"2010-01-27";"vaca";"Vaca em pé (padrão corte) arroba";66.13
"2010-01-27";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.2
"2010-01-27";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-28";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-28";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.95
"2010-01-28";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-28";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";55.68
"2010-01-28";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";56.88
"2010-01-28";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.82
